AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTRP,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KHC,KLAC,LBTYA,LBTYK,LILA,LILAK,LRCX,MAR,MAT,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTES,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,QRTEA,REGN,ROST,SBUX,SHPG,SIRI,STX,SWKS,SYMC,TMUS,TSCO,TSLA,TXN,ULTA,USD,VIAB,VOD,VRSK,VRTX,WBA,WDC,WYNN,XLNX,XRAY
41.41,227.95,271.73,92.81,151.38,155.65,73.39,394,139.14,38.555,207.99,2022,84.2,248.33,230.85,355.3,1995,98.21,44.16,90.16,64.7,118.1,327.66,35.64,235.67,49,74.435,198.51,37.615,77.45,111.62,32.16,29.67,35.84,82.09,120.94,33.1,95.23,131.44,58.43,163.135,82.54,45.82,46.33,77.45,1201,1215.185,106.11,41.23,85.48,250,369.15,69.47,46.8,228.3,575.15,119.72,26.03,55.495,102.46,29.15,28.41,20.99,20.75,150.63,132.67,15.7,79.3,43.045,343.99,58.68,114.94,45.47,56.6,36.83,57.43,376.5,230.53,284.24,349.47,74.01,68.675,88.13,72.47,22.25,406.41,99.93,56.92,179.17,6.34,47.77,91.28,21.4,70.5,91.34,306.02,107.695,284.12,1,33.82,21.7,121.52,194.32,72.9,58.01,126.95,80.96,38.07
41.65,227.9,271.96,92.82,151.38,155.7,73.39,393.36,139.14,38.53,207.81,2022.964,84.13,248.33,230.785,355.89,1995.11,97.27,44.16,90.16,64.5,118.1,327.66,35.63,235.67,48.93,74.4,198.51,37.595,77.45,111.62,32.16,29.65,35.62,82.09,120.86,33.1,95.23,131.44,58.43,163,82.54,45.86,46.32,77.5,1200.75,1215.185,106.3527,41.23,85.48,250,368.41,69.47,46.87,228.3,575.15,119.72,26.03,55.495,102.43,29.13,28.41,20.99,20.75,150.95,132.55,15.7,79.3,43.045,343.99,58.3,114.99,45.46,56.6,36.83,57.43,376.99,230.53,284.16,349.47,74.01,68.91,88.18,72.49,21.78,407.235,99.93,56.92,179.17,6.34,47.77,91.3,21.4,70.5,91.75,306.48,107.67,284.12,1,33.82,21.71,121.65,194.43,72.9,58.48,126.95,81.09,38.07
41.74,227.9255,271.88,92.82,151.38,155.65,73.39,393.36,139.14,38.497,207.81,2022,84.18,248.33,231,356.085,1995.11,97.27,44.155,90.16,64.7,117.69,327.66,35.62,236.25,48.93,74.4,198.92,37.595,77.45,111.62,32.16,29.65,35.62,82.09,121,33.1,95.105,131.44,58.567,163.2,82.57,45.84,46.28,77.4685,1200.75,1213.2,106.3527,41.23,85.575,249.75,368.41,69.47,46.805,228.3,575.15,119.72,26.05,55.495,102.32,29.13,28.41,20.99,20.75,150.64,132.55,15.815,79.3,43.02,343.99,58.3,115,45.47,56.6,36.83,57.43,377.88,230.53,284.17,349.38,74.01,68.91,88.21,72.48,21.78,407.235,99.89,56.9,179.29,6.34,47.79,91.3,21.4,70.71,91.34,306.69,107.67,284.12,1,33.76,21.7,121.52,193.34,72.9,58.44,126.9,81.01,38.07
41.74,227.8646,271.76,92.82,151.38,155.65,73.39,393.36,139.14,38.535,207.81,2022.2,84.27,248.33,231,355.11,1997.73,97.27,44.155,90.16,64.7,117.69,327.66,35.605,235.91,48.97,74.56,198.725,37.595,77.45,111.62,32.16,29.66,35.62,81.995,120.29,33.1,95.105,131.44,58.43,163.2,82.57,45.84,46.28,77.54,1200.75,1213.2,106.3527,41.23,85.48,250,368.41,69.47,46.86,228.3,575.15,119.72,26.03,55.495,102.32,29.13,28.41,20.99,20.82,150.64,132.55,15.815,79.3,43.05,343.99,58.3,115,45.36,56.6,36.83,57.555,377.6689,230,284.22,349.38,74.01,68.91,88.19,72.46,21.78,407.235,99.9,56.9,179.38,6.34,47.79,91.15,21.4,70.71,91.34,307,107.68,284.12,1,33.84,21.7,121.45,193.34,72.88,58.44,126.93,81.03,38.07
41.74,227.85,271.76,92.82,151.5,155.73,73.39,393.36,139.14,38.5,208,2022.89,84.14,248.02,230.82,355.11,1997.73,97.27,44.155,90.15,64.7,117.96,327.66,35.605,235.75,48.96,74.56,198.81,37.595,77.47,111.62,32.16,29.66,35.62,81.995,120.3,33.005,94.96,131.44,58.43,163.28,82.57,45.84,46.3125,77.41,1200.75,1213.2,106.3527,41.23,85.48,250,368.41,69.47,46.89,228.3,575.15,119.72,26.17,55.39,102.33,29.13,28.41,20.99,20.82,151.1,132.6,15.815,79.3,43.0171,343.99,58.6121,114.99,45.35,56.6,36.83,57.555,377.8799,230.2322,284.01,349.38,74.01,68.91,88.35,72.46,21.78,407.235,99.9,56.9,179.38,6.34,47.79,91.2975,21.4,70.63,91.34,306.959,107.68,284.12,1,33.85,21.7,121.52,194.49,72.88,58.505,127.0605,81.03,38.07
41.59,227.73,271.76,92.82,151.4476,155.755,73.39,393.36,139.14,38.5,207.66,2021.6,84.3,248.02,230.82,355.11,1997.73,97.27,44.155,90.1192,64.7,117.96,327.66,35.59,235.895,48.95,74.56,198.81,37.595,77.47,111.62,32.13,29.66,35.62,81.995,120.325,33.0175,94.975,131.44,58.43,163.27,82.57,45.84,46.3125,77.56,1200.75,1213.2,106.3527,41.23,85.48,250,368.41,69.47,46.89,228.44,575.15,119.72,26.21,55.39,102.18,29.13,28.41,20.99,20.82,151.08,132.6,15.815,79.3,43.0171,343.99,58.6121,114.98,45.31,56.6,36.83,57.55,377.7269,230.2322,283.7636,349.38,74.01,68.91,88.2232,72.46,21.78,407.235,99.9,56.875,179.26,6.34,47.79,91.2975,21.4,70.63,91.595,307.8789,107.68,284.12,1,33.85,21.7,121.52,194.49,72.88,58.459,126.96,80.83,38.07
41.57,227.77,271.76,92.82,151.4476,155.755,73.39,393.7001,139.14,38.5,207.66,2022.66,84.6794,248.02,230.8,355.11,1997.73,97.27,44.155,90.2,64.7,117.96,327.66,35.59,235.81,48.92,74.56,198.81,37.49,77.47,111.62,32.13,29.66,35.62,81.995,120.09,32.95,94.975,131.44,58.43,163.21,82.57,45.84,46.35,77.53,1200.88,1213.2,106.35,41.23,85.631,250,369.15,69.3076,46.87,228.85,576.25,119.72,26.23,55.39,102.18,29.13,28.41,20.99,20.82,151.2499,132.6,15.815,79.3,43.0171,343.99,58.6121,114.99,45.26,56.6,36.87,57.55,377.6292,229.81,283.73,349.38,74.01,68.91,88.2917,72.53,21.78,407.235,99.99,56.87,179.26,6.34,47.68,91.2975,21.4,70.63,91.595,307.885,107.778,284.12,1,33.84,21.7,121.52,194.49,72.88,58.52,126.9949,81.08,38.07
41.47,227.63,271.76,92.82,151.4476,155.755,73.39,393.7001,139.14,38.4,207.66,2022.4514,84.2,248.02,230.8,355.5,1997.73,97.27,44.155,90.2,64.7,117.96,327.66,35.595,235.81,48.925,74.56,199,37.49,77.47,111.62,32.13,29.66,35.62,81.995,119.66,32.92,94.975,131.44,58.43,163.2,82.57,45.84,46.35,77.53,1200.88,1214.81,106.665,41.23,85.5089,250,369.15,69.3076,46.875,228.85,576.49,119.72,26.23,55.39,102.18,29.13,28.41,20.99,20.82,151.2499,132.6,15.815,79.2,43.0171,343.99,58.6121,114.96,45.28,56.6,36.97,57.55,377.75,229.81,283.63,349.38,74.01,68.91,88.275,72.5201,21.78,407.235,99.99,56.87,179.25,6.34,47.68,91.2975,21.4,70.63,91.595,308.2,107.778,284.12,1,33.89,21.7,121.52,194.49,72.88,58.52,126.9949,81.08,38.07
41.47,227.7,271.76,92.82,151.4476,155.755,73.39,393.525,139.14,38.39,207.66,2022.12,84.2,248.02,230.8,355.5,1997.73,97.27,44.155,90.2,64.7,117.96,327.66,35.61,235.81,48.94,74.56,199,37.49,77.47,111.62,32.13,29.66,35.62,81.995,119.41,32.92,94.975,131.44,58.43,163.11,82.57,45.84,46.35,77.53,1200.89,1214.26,106.665,41.23,85.5089,250,369.15,69.3076,46.9399,228.85,576.83,119.72,26.23,55.355,102.27,29.38,28.65,20.99,20.82,151.2499,132.6,15.815,79.2,43.0171,343.99,58.6121,114.935,45.29,56.6,36.97,57.55,377.64,229.73,283.5,349.38,74.01,68.91,88.329,72.5201,21.78,407.235,99.99,56.84,179.25,6.34,47.61,91.2975,21.4,70.63,91.595,307.86,107.65,284.12,1,33.89,21.69,121.52,194.49,72.88,58.52,126.9949,81.08,38.07
41.47,227.67,271.885,92.82,151.4476,155.755,73.39,393.525,139.14,38.39,207.66,2022,84.53,248.0271,230.8,355.5,1997.73,97.27,44.155,90.2,64.7,117.96,327.66,35.6,235.81,48.93,74.56,199.085,37.49,77.47,111.62,32.13,29.66,35.62,81.995,119.01,32.91,94.975,131.44,58.43,163.185,82.53,45.84,46.35,77.4101,1200.955,1214.26,106.665,41.23,85.5089,250,369.15,69.3076,46.99,228.85,576.02,119.72,26.23,55.355,102.27,29.41,28.54,20.83,20.48,151.2499,132.6,15.815,79.2,43.0171,343.99,58.6121,114.93,45.34,56.6,36.97,57.55,377.84,229.73,283.6,349.38,74.01,68.91,88.329,72.5201,21.78,407.235,99.8896,56.8399,179.25,6.34,47.55,91.2975,21.4,70.63,91.595,307,107.65,284.12,1,33.89,21.69,121.52,194.49,72.88,58.52,126.9949,81.08,38.07
41.42,227.71,271.72,92.82,151.4476,155.755,73.17,393.525,139.13,38.41,207.66,2022.292,84.32,248.0271,230.8,355.5,1997.73,97.27,44.16,90.2,64.7,117.96,327.66,35.6,235.81,48.94,74.56,199.085,37.49,77.47,111.62,32.13,29.66,35.62,81.995,118.8,32.91,94.975,131.44,58.43,163.195,82.53,45.84,46.35,77.4101,1201.12,1214.26,106.665,41.23,85.5089,251.4,369.15,69.3076,47.11,228.85,576.02,119.72,26.23,55.355,102.27,29.41,28.6,20.83,20.48,151.2499,132.6,15.815,79.2,43.0171,343.99,58.6121,114.96,45.3448,56.6,36.97,57.55,377.84,229.725,283.62,349.38,74.01,68.91,88.329,72.58,21.78,407.235,99.8896,56.8399,179.19,6.34,47.55,91.2975,21.4,70.6062,91.595,306.23,107.65,284.12,1,33.89,21.69,121.52,194.49,72.93,58.52,126.9263,81.08,38.07
41.41,227.79,271.72,92.82,151.4476,155.755,73.17,393.525,139.13,38.41,207.66,2021.63,84.31,248.0271,230.8,355.5,1997.73,97.27,44.16,90.145,64.7,117.96,327.66,35.6,235.81,48.94,74.56,199.11,37.49,77.29,111.62,32.13,29.66,35.62,81.995,118.6,32.91,94.975,131.44,58.43,163.33,82.53,45.84,46.35,77.4101,1200.32,1214.26,106.665,41.23,85.5089,251.4,369.15,69.3076,47.07,228.85,576.02,119.72,26.23,55.355,102.27,29.41,28.6,20.83,20.48,151.2499,132.6,15.815,79.2,43.0171,343.99,58.6121,114.975,45.27,56.6,36.97,57.55,377.83,229.725,283.6262,349.38,74.01,68.91,88.27,72.6,21.78,407.235,99.8896,56.79,179.19,6.34,47.5671,91.2975,21.4,70.6062,91.595,306.23,107.65,284.12,1,33.8513,21.69,121.52,194.49,72.93,58.52,127.3,81.08,38.07
41.41,227.6439,271.72,92.82,151.4476,155.755,73.17,393.525,139.13,38.38,207.66,2022.0984,84.31,248.0271,230.8,355.5,1997.73,97.27,44.16,90.05,64.7,117.96,327.66,35.61,235.7004,48.945,74.49,199.11,37.49,77.29,111.62,32.13,29.66,35.62,81.995,118.6948,32.91,94.975,131.44,58.43,163.255,82.53,45.84,46.35,77.4101,1200.32,1214.26,106.665,41.23,85.5089,251.4,369.15,69.3076,47.06,228.85,576.02,119.72,26.195,55.355,102.27,29.41,28.6,20.83,20.48,151.11,132.6,15.815,79.17,43.0171,343.99,58.6121,114.97,45.25,56.6,36.97,57.55,377.83,229.725,283.6262,349.38,74.01,68.91,88.14,72.6,21.78,407.235,99.8896,56.75,179.19,6.34,47.64,91.2975,21.4,70.6062,91.595,306.2201,107.65,284.12,1,33.8513,21.69,121.52,194.49,73.01,58.52,127.3,81.08,38.07
41.41,227.51,271.72,92.82,151.4476,155.755,73.17,393.525,139.13,38.38,207.66,2021.809,84.305,248.0271,230.8,355.5,1997.73,97.27,44.16,90.05,64.7,117.96,327.66,35.615,235.7004,48.945,74.49,199.1255,37.6,77.29,111.62,32.13,29.66,35.62,81.995,118.55,32.91,94.975,131.44,58.43,163.17,82.53,45.84,46.35,77.4101,1200.32,1214.26,106.665,41.23,85.5089,251.4,369.25,69.3076,47.0825,228.85,576.02,119.72,26.26,55.305,102.27,29.41,28.6,20.83,20.48,151.07,132.6,15.815,79.17,43.05,343.99,58.6121,114.99,45.26,56.6,36.97,57.55,377.5,229.725,283.5,349.38,74.01,68.91,88.14,72.6,21.78,407.235,99.8896,56.75,179.19,6.34,47.64,91.2975,21.4,70.6062,91.595,306.23,107.65,284.12,1,33.8513,21.69,121.52,194.49,73.01,58.52,127.3,81.08,38.07
